"Section SIS ID","SIS ID"
"18046","31281"
"18046","31371"
"18046","31445"
"18046","31534"
"18046","31535"
"18046","31550"
"18046","31555"
"18046","31569"
"18046","31637"
"18046","31639"
"18046","31677"
"18046","31716"
"18046","31769"
"18047","14365"
"18047","15208"
"18047","24033"
"18047","24957"
"18047","24998"
"18047","25035"
"18047","25038"
"18047","31331"
"18047","31358"
"18047","31733"
"18048","15883"
"18048","18602"
"18048","19205"
"18048","20164"
"18048","20633"
"18048","21026"
"18048","23798"
"18048","23817"
"18048","24145"
"18048","24404"
"18048","24466"
"18048","24665"
"18048","25055"
"18048","25109"
"18048","25280"
"18048","25298"
"18048","31098"
"18048","31254"
"18049","13929"
"18049","15208"
"18049","19508"
"18049","24145"
"18049","24683"
"18049","24973"
"18050","11532"
"18050","13963"
"18050","14145"
"18050","14455"
"18050","15537"
"18050","15623"
"18050","15879"
"18050","16064"
"18050","18631"
"18050","18753"
"18050","18830"
"18050","18885"
"18050","18944"
"18050","19029"
"18050","19062"
"18050","19082"
"18050","19981"
"18050","20217"
"18050","23723"
"18050","23738"
"18050","23739"
"18050","23784"
"18050","23834"
"18050","23847"
"18050","23942"
"18050","23944"
"18050","24170"
"18050","24278"
"18050","24362"
"18050","24532"
"18050","24536"
"18050","24605"
"18050","24644"
"18050","24669"
"18050","24678"
"18050","24811"
"18050","24849"
"18050","25040"
"18050","25053"
"18050","25055"
"18050","25134"
"18050","25147"
"18050","25156"
"18050","25157"
"18050","30348"
"18050","30554"
"18050","31198"
"18050","31504"
"18050","31520"
"18051","11649"
"18051","13825"
"18051","13831"
"18051","13913"
"18051","13918"
"18051","13991"
"18051","14063"
"18051","14205"
"18051","14289"
"18051","14411"
"18051","14426"
"18051","14918"
"18051","14976"
"18051","15057"
"18051","15115"
"18051","15255"
"18051","15259"
"18051","15303"
"18051","15437"
"18051","17276"
"18051","18432"
"18051","18530"
"18051","18532"
"18051","18596"
"18051","18665"
"18051","18764"
"18051","18792"
"18051","18805"
"18051","18818"
"18051","18829"
"18051","18941"
"18051","19074"
"18051","19242"
"18051","19287"
"18051","19288"
"18051","19422"
"18051","19452"
"18051","19804"
"18051","19816"
"18051","19903"
"18051","20063"
"18051","20098"
"18051","20132"
"18051","20142"
"18051","20217"
"18052","14197"
"18052","15767"
"18052","18493"
"18052","18537"
"18052","18585"
"18052","18629"
"18052","18704"
"18052","18774"
"18052","18958"
"18052","19040"
"18052","19050"
"18052","19083"
"18052","19132"
"18052","19222"
"18052","19649"
"18052","19934"
"18052","20749"
"18052","20750"
"18052","23803"
"18052","23823"
"18052","23842"
"18052","23927"
"18052","23958"
"18052","23988"
"18052","24016"
"18052","24030"
"18052","24088"
"18052","24172"
"18052","24175"
"18052","24291"
"18052","24307"
"18052","24337"
"18052","24364"
"18052","24414"
"18052","24434"
"18052","24459"
"18052","24502"
"18052","24555"
"18052","24596"
"18052","24678"
"18052","24721"
"18052","24744"
"18052","24784"
"18052","24858"
"18052","24887"
"18052","24965"
"18052","25005"
"18052","25029"
"18052","25039"
"18052","25042"
"18052","25043"
"18052","25067"
"18052","25068"
"18052","25092"
"18052","25109"
