"SIS ID","course_id","Section Name","Term StartDate","Term EndDate","created_at","restrict_enrollments_to_section_dates","nonxlist_course_id","sis_section_id","sis_course_id","integration_id","sis_import_id","School SIS ID"
"18116","20956","AX06","","","2020-05-18T16:20:39Z","","20984","","CH1010-A20-AX01","","","1"
"18118","20956","AX07","","","2020-05-18T16:20:40Z","","20985","","CH1010-A20-AX01","","","1"
"18120","20956","AX08","","","2020-05-18T16:20:40Z","","20988","","CH1010-A20-AX01","","","1"
"19308","20956","AX09","","","2020-05-26T14:19:36Z","","20991","","CH1010-A20-AX01","","","1"
"18121","20956","AX10","","","2020-05-18T16:20:41Z","","20706","","CH1010-A20-AX01","","","1"
"20705","20956","AX11","","","2020-06-10T22:12:19Z","","20708","","CH1010-A20-AX01","","","1"
"18123","20956","AX12","","","2020-05-18T16:20:41Z","","20712","","CH1010-A20-AX01","","","1"
"20706","20956","AX13","","","2020-06-10T22:12:21Z","","20715","","CH1010-A20-AX01","","","1"
"18125","20956","AX14","","","2020-05-18T16:20:41Z","","20718","","CH1010-A20-AX01","","","1"
"18126","20956","AX15","","","2020-05-18T16:20:42Z","","20720","","CH1010-A20-AX01","","","1"
"18128","20956","AX16","","","2020-05-18T16:20:42Z","","20722","","CH1010-A20-AX01","","","1"
"18131","20956","AX17","","","2020-05-18T16:20:42Z","","20724","","CH1010-A20-AX01","","","1"
"19286","20956","AX18","","","2020-05-20T14:32:06Z","","20726","","CH1010-A20-AX01","","","1"
"18241","20957","THE GREEN ECONOMY AND MODELS FOR ALTERNATIVE FORMS OF DEVELOPMENT","","","2020-05-18T16:21:55Z","","","","ENV2900-A20-A01","","","1"
"18250","20960","HEAT TRANSFER","","","2020-05-18T16:22:09Z","","","","ES3003-A20-A01","","","1"
"18259","20962","GEOLOGY","","","2020-05-18T16:22:23Z","","","","GE2341-A20-A01","","","1"
"18243","20963","INTRODUCTION TO ENGINEERING","","","2020-05-18T16:21:56Z","","","","ES1020-A20-A01","","","1"
"18246","20964","INTRODUCTION TO COMPUTER AIDED DESIGN","","","2020-05-18T16:21:59Z","","","","ES1310-A20-A01","","","1"
"18264","20965","ELEMENTARY GERMAN I","","","2020-05-18T16:22:29Z","","","","GN1511-A20-A01","","","1"
"18254","20966","HEAT TRANSFER","","","2020-05-18T16:22:15Z","","","","ES3003-A20-A02","","","1"
"18248","20967","INTRODUCTION TO COMPUTER AIDED DESIGN","","","2020-05-18T16:22:02Z","","","","ES1310-A20-A02","","","1"
"18266","20968","ELEMENTARY GERMAN I","","","2020-05-18T16:22:30Z","","","","GN1511-A20-A02","","","1"
"18239","20969","INTRODUCTION TO COMPUTER AIDED DESIGN","","","2020-05-18T16:21:55Z","","","","ES1310-A20-A03","","","1"
"18255","20971","FLUID MECHANICS","","","2020-05-18T16:22:16Z","","","","ES3004-A20-A01","","","1"
"18242","20972","INTRODUCTION TO COMPUTER AIDED DESIGN","","","2020-05-18T16:21:55Z","","","","ES1310-A20-A04","","","1"
"18268","20973","ADVANCED GERMAN I","","","2020-05-18T16:22:31Z","","","","GN3511-A20-A01","","","1"
"18256","20974","CONTROL ENGINEERING I","","","2020-05-18T16:22:19Z","","","","ES3011-A20-A01","","","1"
"18245","20975","INTRODUCTION TO MATERIALS SCIENCE","","","2020-05-18T16:21:58Z","","","","ES2001-A20-A01","","","1"
"18249","20977","INTRODUCTION TO MATERIALS SCIENCE","","","2020-05-18T16:22:04Z","","","","ES2001-A20-A02","","","1"
"18263","20978","AMERICAN PUBLIC POLICY","","","2020-05-18T16:22:29Z","","","","GOV1303-A20-A01","","","1"
"18257","20979","ADVANCED COMPUTER AIDED DESIGN","","","2020-05-18T16:22:21Z","","","","ES3323-A20-A01","","","1"
"18265","20980","WOMEN IN POLITICS","","","2020-05-18T16:22:29Z","","","","GOV236X-A20-A01","","","1"
"18258","20981","ADVANCED COMPUTER AIDED DESIGN","","","2020-05-18T16:22:22Z","","","","ES3323-A20-A02","","","1"
"18267","20983","INTRODUCTION TO AMERICAN URBAN HISTORY","","","2020-05-18T16:22:30Z","","","","HI1311-A20-A01","","","1"
"18269","20986","INTRODUCTION TO THE STUDY OF FOREIGN POLICY AND DIPLOMATIC HISTORY","","","2020-05-18T16:22:31Z","","","","HI1313-A20-A01","","","1"
"18260","20987","A PROJECT-BASED INTRODUCTION TO SYSTEMS ENGINEERING","","","2020-05-18T16:22:24Z","","","","ES3501-A20-A01","","","1"
"18270","20989","INTRODUCTION TO EUROPEAN HISTORY","","","2020-05-18T16:22:32Z","","","","HI1322-A20-A01","","","1"
"18277","20992","INQUIRY SEMINAR IN HUMANITIES AND ARTS","","","2020-05-18T16:22:34Z","","","","HU3900-A20-A06","","","1"
"18261","20993","ENGINEERING INNOVATION AND ENTREPRENEURSHIP","","","2020-05-18T16:22:25Z","","","","ETR1100-A20-A01","","","1"
